Protein	Description	PSM_G1	Uniq_Pept_G1	S1	S2	S3	S4	S5	S6	S7	S8	P2	PSM_G2	Uniq_Pept_G2	S9	S10	S11	S12	S13	S14	S15	S16	P4	PSM_G3	Uniq_Pept_G3	S17	S18	S19	S20	S21	S22	S23	S24	P6	Total_PSM	Gene Length	Amino_Acid_Length	SAF_G1	SAF_G2	SAF_G3	NSAF_G1	NSAF_G2	NSAF_G3	Avg_TT4	Avg_TS4	Avg_AT4	Avg_AS1	Avg_SASA1	Avg_ASA1	Avg_SAS1	Avg_POOLED
PA5558	gi|15600751| ATP synthase B chain	352.0	10.0	2.558163011647511	2.5469179481687894	2.560616213357064	2.490769580924937	2.365997063422834	2.5048418043884855	2.0263463648445974	2.026982908501005	2.1772845268125964	424.0	5.0	2.9357169152282125	2.8895211432718857	2.894103423770213	2.9615980113513043	2.8619472853948316	2.56957548000796	1.8418068670995278	2.3395418626589612	2.853960296634029	306.0	10.0	1.8024239991120228	1.455854849557949	1.6354906804409661	1.6628383108305447	1.8064757079948437	2.086683613419717	2.004157607722227	2.070637268779112	1.907518365141581	1082.0	471	157.0	2.2420382165605095	2.700636942675159	1.9490445859872612	0.002889315279156607	0.005740302494068089	0.002504106240653456	2.555232391057788	2.453869482912085	2.329682062857938	2.915074192797801	2.4244432108341063	1.8659402371096443	1.7016015664221182	2.0538261633070185
PA5557	gi|15600750| ATP synthase delta chain	149.0	12.0	0.9175995041593903	1.0029125792653335	0.9542529862716197	0.9169121136008086	0.9182398639887124	0.9165698913378981	0.7988432596052597	0.7963017761805641	0.8351870873605297	75.0	5.0	0.4134349969953366	0.43619829863513426	0.43168621330552615	0.4238527964247851	0.4112509926930837	0.38374142206621004	0.2761463415281162	0.32691151278204283	0.42315882498985496	140.0	11.0	0.7278581150796497	0.5872738234008287	0.6753341742799724	0.6786192505131421	0.7231332038514804	0.8658627910200829	0.8022654801469724	0.8176112654970693	0.7732799187101039	364.0	537	179.0	0.8324022346368715	0.41899441340782123	0.7821229050279329	0.001072716993481947	0.0008905879343793051	0.0010048609772805154	0.9582550232321144	0.9172406229758064	0.6695266775937201	0.4305791027884818	0.3570462520958033	0.5473478170875071	0.6923622095481984	0.8285798455547081
PA5556	gi|15600749| ATP synthase alpha chain	1537.0	32.0	3.2608305944102334	3.3320999045106303	3.364273357857457	3.2473201563393186	3.0283067192084716	3.320814492591337	2.804516620193484	2.8063485187212804	2.979987151503435	872.0	18.0	1.7901054360336808	1.7669110649532964	1.8018192945384834	1.8550144142049851	1.7876130094886304	1.654365100552746	1.1917464736032473	1.4800785100125193	1.7768686501067505	1593.0	28.0	2.8863997437298563	2.437607374979056	2.760713676025381	2.7657381249509663	2.993288969073753	3.4305606805855966	3.265408758798502	3.2832919033648547	3.0798421990388114	4002.0	1545	515.0	2.984466019417476	1.6932038834951457	3.0932038834951454	0.0038460821971425516	0.00359896671848277	0.003974106700258074	3.31906795225944	3.198813789379709	2.4669901916494816	1.807914924565588	1.5445748612148746	2.268028542907144	2.8399135900167	3.3264204475829846
PA5555	gi|15600748| ATP synthase gamma chain	261.0	17.0	0.9613032968027674	1.000297763334331	0.9869471878243705	0.9643732907679392	0.9614420171342253	0.9841965412045834	0.8450396547651331	0.8835033285994502	0.9245037727771729	84.0	4.0	0.29953776919129443	0.298562012348141	0.3087781230810177	0.33035515733722554	0.3009831661298254	0.2843716327033743	0.2180017122706541	0.24023494333488468	0.29739149335922244	267.0	15.0	0.8835684480745204	0.7225895193078716	0.8492400987259093	0.8253626847151667	0.8864118396035923	1.0921986326196431	1.0067442932960666	0.9853706907453014	0.9240607705058279	612.0	861	287.0	0.9094076655052264	0.2926829268292683	0.9303135888501742	0.0011719539138620556	0.0006221082546493487	0.0011952543725029287	0.9828494159871562	0.9700039497022493	0.6760269175186259	0.31256509758879475	0.2677855037012846	0.6154643035724255	0.8536715410148895	1.0281045388870036
PA5554	gi|15600747| ATP synthase beta chain	2178.0	37.0	5.054538772201397	5.171088781704123	5.27629707675011	5.044906395277169	4.893036142271243	5.28916337135564	4.427562615240119	4.430193646324202	4.803787495752071	1110.0	15.0	2.6639055445256807	2.5807752824174304	2.583077407928417	2.7062430401775575	2.6096368034161066	2.4190344785798565	1.8899003253238573	2.0718370639048516	2.57985307634587	1833.0	37.0	3.664708136376165	3.100113942553926	3.5672840646303436	3.5365451770811664	3.8422023586327785	4.342222986338642	4.224974116107991	4.229906319116046	3.929630091157866	5121.0	1377	459.0	4.745098039215686	2.418300653594771	3.9934640522875817	0.006115009175371888	0.005140186395986177	0.005130748843332992	5.167308210218543	5.075701969634684	3.8405539353633347	2.6233652435078016	2.3061905357732737	2.945553047611648	3.648677200114763	4.2657011405208936
PA5553	gi|15600746| ATP synthase epsilon chain	164.0	4.0	1.193563735584137	1.1979764426059898	1.282455641797033	1.139355325567655	1.0789592787546318	1.1027494480955728	1.0425901048012525	1.0491500132443379	1.0899194513641004	113.0	3.0	0.9052359380255721	0.8712529724946367	0.9377977792061077	0.935388786979287	0.905604091012304	0.8406218039091637	0.6304448130424941	0.7395889520228847	0.8985231833575473	214.0	4.0	1.4361698553422102	1.1967656401883213	1.3609297110366951	1.3876202424722155	1.5236635102469687	1.711485634716749	1.587274821363303	1.6849901580550304	1.5189705896608343	491.0	426	142.0	1.1549295774647887	0.795774647887324	1.5070422535211268	0.0014883580707371225	0.0016914480890788926	0.0019362275953575163	1.2246652733290533	1.1070213508059532	0.9989920186903875	0.9148131795600104	0.7922235693213207	1.1241748158511387	1.4240711545852929	1.6612502047116944
PA5552	gi|15600745| glucosamine-1-phosphate acetyltransferase/N-acetylglucosamine-1-phosphate uridyltransferase	68.0	11.0	0.1376997479005007	0.1521155653339164	0.14388169901902179	0.13948666713546573	0.14846194431569718	0.1505758494037229	0.14557515170987173	0.1501925909897585	0.146375879008564	3.0	1.0	0.005546912437900769	0.007822471728207927	0.00709602859452253	0.007512696610416118	0.007532120475665851	0.007658484037337511	0.006424809580444533	0.007244203440565438	0.007548735473058533	69.0	10.0	0.1448708422221695	0.12982952008166918	0.14177828958905125	0.14556383608779247	0.1611239749038716	0.1808531105001418	0.17502355820700963	0.16910564888925214	0.15010676321048055	140.0	1365	455.0	0.14945054945054945	0.006593406593406593	0.15164835164835164	0.00019259696503668794	1.4014526615727088e-05	0.00019483576028872285	0.14456567075114632	0.14617482028496195	0.100438218379177	0.0074770656443821915	0.007205138031149298	0.09398152191480137	0.14948870019357177	0.17499410586546785
PA5549	gi|15600742| glucosamine--fructose-6-phosphate aminotransferase	143.0	25.0	0.2176681271943005	0.23142581624523131	0.22105731018907168	0.22576511350766576	0.23203400142009556	0.23791551763820226	0.21345571693111237	0.22999811646084714	0.2312100241639489	9.0	5.0	0.014702281386318905	0.015162148037071891	0.015354398598471064	0.01435840360706633	0.01566061187265689	0.014497700557305402	0.014265290894955578	0.017887293370659536	0.014077043008398769	105.0	19.0	0.16675450580594092	0.14867153970962155	0.1652921338998795	0.16537250734910258	0.16944143593573055	0.2053088252950719	0.1990003879027821	0.1934273485725811	0.17410016881612947	257.0	1836	612.0	0.23366013071895425	0.014705882352941176	0.1715686274509804	0.00030111787605997933	3.125789024586189e-05	0.00022042906241815228	0.2233837512095345	0.23190487752198785	0.15271870492609282	0.01495831674753643	0.014807867774972623	0.11110444629540733	0.16670202572823756	0.19924552059014503
PA5546	gi|15600739| conserved hypothetical protein	11.0	5.0	0.01926856904491721	0.025175778166485856	0.02051564915314264	0.021241155084158244	0.02302941068487747	0.02823471594932828	0.026641654093447358	0.02931295180470633	0.028030563163874374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.006226582459055234	0.007532157094484346	0.0072617742397268915	0.007248839886591172	0.00924573623246953	0.010907804872309062	0.010014735320844926	0.010077104688652055	0.008268284906749662	14.0	1185	395.0	0.027848101265822784	0.0	0.007594936708860759	3.588785591990406e-05	0.0	9.75787241952327e-06	0.02165333212151524	0.024168427239454667	0.018651535299384563	0.0	0.0	0.004586246517846527	0.007918783452929198	0.010333214960602015
PA5545	gi|15600738| putative glutamate/glutamine-binding protein	23.0	8.0	0.06359408887949765	0.06595479835313264	0.07840039472633822	0.06132926713557311	0.06526070067103573	0.0597253921350045	0.05650162376437168	0.08584385001534502	0.06373118234162015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	5.0	0.029932026719619212	0.02466226090569528	0.02102465906468447	0.02219781191819587	0.02411318234267703	0.037599641115606486	0.033498671651394134	0.042509259622242807	0.032865526674132686	33.0	960	320.0	0.071875	0.0	0.03125	9.262533267963875e-05	0.0	4.014957922616345e-05	0.06931642731965618	0.062105119980537776	0.04744849125990556	0.0	0.0	0.01819809587510483	0.022445217775185794	0.03786919079641448
PA5531	gi|15600724| TonB1	3.0	2.0	0.0072322209222845215	0.00941261169835611	0.008611153537731033	0.00834950758753985	0.009164153738298335	0.00783639511028913	0.007359979376035959	0.007443787747132893	0.009954876885637677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	0.021967658304383138	0.01855717955511908	0.023125316904902892	0.025497113354664914	0.030946611300011643	0.028112425199278184	0.02791378811718807	0.028398903573484503	0.022533525366571598	11.0	1029	343.0	0.008746355685131196	0.0	0.023323615160349854	1.1271431027057067e-05	0.0	2.996586671107243e-05	0.008418662052790555	0.008450018812042437	0.004934589041056284	0.0	0.0	0.013508279286500738	0.02652301385319315	0.028141705629983586
PA5530	gi|15600723| C5-dicarboxylate transporter	10.0	4.0	0.029574598981413985	0.02825317116763518	0.027087582938838554	0.026029893112711994	0.023785534017068476	0.02839004537575461	0.02378160470862689	0.024352682698706597	0.022168226231034992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.005366379862984866	0.004239008290346336	0.004424674603055806	0.005944829718814067	0.006424819390086446	0.007091678782816409	0.006243465937203546	0.003414801385067108	0.007370284931790426	13.0	1308	436.0	0.022935779816513763	0.0	0.006880733944954129	2.9557345888995216e-05	0.0	8.840274325026816e-06	0.028305117695962573	0.02606849083517836	0.01604476246911116	0.0	0.0	0.0032017960511104004	0.00559810790398544	0.005583315368362354
