Protein	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	P2	P4	P6	total_PSM	Avg_TT4	sd_TT4	Avg_TS4	sd_TS4	Avg_AT4	sd_AT4	Avg_AS1	sd_AS1	Avg_SASA1	sd_SASA1	Avg_ASA1	sd_ASA1	Avg_SAS1	sd_SAS1	Avg_SS1	sd_SS1	Avg_Pooled	sd_Pooled
PA4385	-0.344341139638143	-0.309194758586789	-0.338347604287748	-0.420066813754634	-0.437441845032331	-0.341787013486763	-0.159314514689967	-0.127916344033204	0.085573785449744	-0.210756075121617	-0.216036435165502	-0.276435926135642	0.075911783789119	0.344556994076642	1.09188017215294	0.568466291077921	0.195508289077061	0.638017952217287	0.412433173214367	0.455433480157813	0.319477069064042	-0.129756708708886	-0.162603347270062	-0.261657530685439	-0.013902680837432	-0.022036007380661	0.091652993375357	24215	-0.99188350251268	0.016831403313093	-1.19929567227373	0.050956624757222	-0.201657073273428	0.133250490963795	-0.703228436422762	0.036491605292335	1.5123489500187	0.526443087720958	1.40199253237227	0.237960048045954	1.18734372243622	0.069491017901039	-0.554017586664387	0.068663988323509	0.055714305157264	0.063421001059162
PA4277	-0.139066632603791	-0.057668898964985	-0.062425572275432	-0.110571209842061	0.002740970529174	-0.033785842651505	-0.099083035210661	-0.073464104148994	0.077096331341634	0.05605665589715	0.081809820519804	0.138533340319282	0.078352357980203	0.080751833090032	-0.13150308821728	-0.032776485170685	-0.051269523054391	-0.153192493818869	0.002806584135363	-0.07179787996201	0.046217324564536	0.1938393103932	0.133071959885465	0.05307601371412	-0.003341367083856	0.049737593289857	-0.009115138974935	11569	-0.259161103844207	0.002746266616234	-0.141616081964392	0.057835760154954	-0.095450808018021	0.095187484788914	0.276399816736236	0.04219634000675	0.027601102852956	0.121858673196126	-0.237238502043945	0.064846356307795	-0.022773971262112	0.059690740414389	0.379987283992785	0.070600198280578	0.037281087231066	0.032440603599079
PA4266	-0.088783107259522	-0.079880547826547	-0.0101015135458	-0.042933347808616	-0.007493047904487	-0.041196845812419	-0.155319254728196	-0.126256587230161	0.181089089027392	0.059622418932356	0.093145501066628	0.074229184153806	0.220199493406573	0.214364447899126	-0.156424853863319	0.157912217694814	0.049055622594238	-0.168681354196616	0.019769195074568	-0.004287394548237	0.027048702779253	0.165077390537173	0.052873366901872	0.03707257474726	-0.037058609195396	0.080319448184678	-0.001197529736041	8028	-0.17876516863187	0.040286944225782	-0.091623241525523	0.019979056909241	-0.100486752930965	0.186403047679257	0.22699710415279	0.016807645440702	0.278139087442379	0.215779460334708	0.038286486092435	0.166294172357159	0.042530503305585	0.016399500665267	0.255023332186304	0.06979092684353	0.042063309253241	0.060150703880111
PA4761	-0.241379017579957	-0.215278724874885	-0.21153782057493	-0.297282296376289	-0.257467568996362	-0.296691217058281	-0.099171666186944	-0.086629099573363	-0.038324027586055	-0.207015532853236	-0.260646600168468	-0.336222874456817	0.136754681127968	0.226001444701834	0.463818658746793	0.280115904152748	0.202333550455861	0.497647658257494	0.383553900566489	0.400351886741665	0.233827733412895	-0.094892900085701	-0.188342390174849	-0.362227750976098	0.025922793165465	-0.027066016222383	0.043692475575239	6885	-0.668195563029772	0.002159812104591	-0.851441082430932	0.022818327642429	-0.224124793346362	0.032127690756987	-0.803885007478522	0.064913534465656	0.826574784576595	0.169062541465361	0.980097112866103	0.153068928295496	1.01773352072105	0.091679142586078	-0.645463041236647	0.135669235274308	0.042549252518321	0.036811093651145
PA1596	-0.313847089966183	-0.222522740638636	-0.29678148063548	-0.284097180045907	-0.358781367894021	-0.322295873562681	-0.262129676016728	-0.217639789047958	0.176691307426683	-0.119260397297543	-0.113883625455932	-0.181136607782376	0.242834432440387	0.446217081824438	1.04976584500163	0.580735234496478	0.226950106837698	0.584736345112736	0.419370235535543	0.480630488342245	0.347315530895077	-0.145797503647997	-0.207034323680486	-0.337273781029	-0.016190506472762	0.090737721940115	0.070664830400706	6732	-0.833151311240298	0.042873303526861	-0.965174421502609	0.037345368739027	-0.303078157638003	0.241536822313434	-0.414280630535852	0.037373205043188	1.73881735926645	0.419677240305228	1.39242168644691	0.205422701495277	1.24731625477287	0.066730274131394	-0.690105608357483	0.09778840181553	0.145212045868059	0.056833699729522
PA2853	0.212248627780575	0.205988810232787	0.13991619392977	0.110896394678774	0.089178679541429	0.251771722912418	0.324803433201706	0.231614238350244	-0.031203988453267	0.22541998672235	0.201382008398482	0.285500368319891	-0.192820413593101	-0.251685173777895	-0.554733593002386	-0.238093223261302	-0.113878195552937	-0.525138831957468	-0.383463366250799	-0.306580262467622	-0.372850443569294	0.144655541025156	0.338231550492642	0.240537161911165	-0.099471339497368	0.132267317986374	0.019966368781757	5505	0.558153631943131	0.03814704280861	0.451846797132621	0.088274208207875	0.525213683098683	0.184616237391076	0.712302363440723	0.043327002994039	-0.999239180373383	0.194201164524578	-0.877110250771707	0.210934375907216	-1.06289407228771	0.041664098611048	0.723424253428962	0.096789419381626	0.052762347270762	0.115887642944646
PA5554	0.091141556584579	0.124030179161351	0.153087901107477	0.088389606075662	0.044292043932787	0.156601642640814	-0.099925185376697	-0.099068134110671	0.13954931110944	0.093810908321062	0.09509725999583	0.162297791747163	0.109855415649128	0.000437714421704	-0.355683470124914	-0.223083068630967	-0.123942422892407	-0.365319485388971	-0.162814624212852	-0.175300036207576	-0.055707223190843	0.120793087501469	0.081301775765306	0.082984984814105	0.017734436921633	0.093295288110581	-0.023247213820104	5121	0.368259636853406	0.016776483587633	0.289283292649263	0.056584631130824	-0.059444008377928	0.13801392089661	0.351205960064055	0.039174863049566	-0.245390340054082	0.24342041327455	-0.712344976912346	0.12132803481271	-0.393821883611271	0.065739792352911	0.28507984808088	0.022330284085979	0.087782511212109	0.059120065243226
PA4269	0.076507482788484	0.120970772773735	0.111607947685317	0.115944533124079	0.159960327654634	0.109524483286537	-0.125745862932914	-0.073756926066887	0.117795629263983	0.084995416508907	0.060277149580284	0.080916618836331	0.140435002903415	0.063262530799802	-0.207673572899234	-0.047916002885431	-0.021419979202217	-0.268165062687223	-0.066104565538398	-0.079491093489901	0.000790966145094	0.107847273523896	0.022490174251567	-0.008066936362228	0.003144416049467	0.076268906748316	-0.026051297537083	4727	0.309086203247536	0.005405629585174	0.38542934406525	0.027454148457612	-0.081707159735818	0.12826254937415	0.226189184925522	0.013251521935107	-0.003976039196018	0.182821198299298	-0.337501044774872	0.135458987543966	-0.144804692883204	0.043010503347148	0.122270511413235	0.060077277261283	0.0533620252607	0.052708324827614
PA4270	0.009318410882086	0.085087792899753	0.07301701568396	0.051623366716876	0.108721166015093	0.076972315344174	-0.139977587946401	-0.076184083250851	0.120491549055808	0.081871048479259	0.080069491438109	0.05358278599836	0.141552205787613	0.042981031771845	-0.197528610288959	-0.069352910342829	-0.036434770674868	-0.260799904069941	-0.058722956753956	-0.051914904466478	0.01549541426928	0.141831818909271	0.076967053168328	0.020138680646128	-0.011696525789149	0.069650138854821	-0.015272229677085	4676	0.167423219465799	0.006969066474867	0.237316848076144	0.028608615835482	-0.095670122141443	0.135766396747772	0.215523325915727	0.015837807966029	-0.012995372729502	0.174421407374122	-0.366587585087638	0.121157795463697	-0.095142446951154	0.041026144601843	0.238937552723728	0.060890778801723	0.042681383388588	0.048031021545215
PA3309	-0.206740503762035	-0.286444690074228	-0.444407976152887	-0.165956645976998	-0.100009912501658	0.037024609188748	0.158017107837478	0.123156819748537	-0.34308201504683	-0.370078833658947	-0.298590125997055	-0.247526773394453	-0.258712357653609	-0.2526820563826	-0.669312787508389	-0.333662978808148	0.055803870845121	0.151340463747161	-0.014674293267219	-0.133962661896266	-0.079093265492319	0.070957328424734	-0.025272476000482	0.033040750640658	-0.009139395298679	-0.371140677663606	0.023894578947969	4628	-0.93759316998915	0.091200145739591	-0.228941949289908	0.103544532882916	-0.061908087460814	0.279789868089253	-0.916195733050455	0.061559062123646	-1.1807072015446	0.238820100929813	-0.126518644215867	0.256917628450792	-0.227730220655804	0.059707857571193	0.07872560306491	0.048473832342602	-0.356385494014317	0.219160909628273
