id,name,formula,charge,compartment,uptake,min_uptake,lowerbound,max_uptake,upperbound
cpd11593_e0,ala-L-asp-L_e0,C7H11N2O5,-1,,0,0,-1000,0,0
cpd11587_e0,Ala-Gln_e0,C8H15N3O4,0,,0,0,-1000,0,0
cpd11586_e0,ala-L-glu-L_e0,C8H13N2O5,-1,,0,0,-1000,0,0
cpd11585_e0,L-alanylglycine_e0,C5H10N2O3,0,,0,0,-1000,0,0
cpd11584_e0,Ala-His_e0,C9H14N4O3,0,,0,0,-1000,0,0
cpd11583_e0,Ala-Leu_e0,C9H18N2O3,0,,0,0,-1000,0,0
cpd11582_e0,ala-L-Thr-L_e0,C7H14N2O4,0,,0,0,-1000,0,0
cpd01017_e0,Cys-Gly_e0,C5H10N2O3S,0,,0,0,-1000,0,0
cpd11581_e0,gly-asn-L_e0,C6H11N3O4,0,,0,0,-1000,0,0
cpd11589_e0,gly-asp-L_e0,C6H9N2O5,-1,,0,0,-1000,0,0
cpd11580_e0,Gly-Gln_e0,C7H13N3O4,0,,0,0,-1000,0,0
cpd11592_e0,gly-glu-L_e0,C7H11N2O5,-1,,0,0,-1000,0,0
cpd11591_e0,Gly-Met_e0,C7H14N2O3S,0,,0,0,-1000,0,0
cpd11588_e0,gly-pro-L_e0,C7H12N2O3,0,,0,0,-1000,0,0
cpd11590_e0,met-L-ala-L_e0,C8H15N2O3S,-1,,0,0,-1000,0,0
cpd15603_e0,Gly-Cys_e0,C5H10N2O3S,0,,0,0,-1000,0,0
cpd15604_e0,Gly-Leu_e0,C8H16N2O3,0,,0,0,-1000,0,0
cpd15605_e0,Gly-Phe_e0,C11H14N2O3,0,,0,0,-1000,0,0
cpd15606_e0,Gly-Tyr_e0,C11H14N2O4,0,,0,0,-1000,0,0
cpd00851_e0,trans-4-Hydroxy-L-proline_e0,C5H8NO3,-1,,0,0,-1000,0,0
cpd10516_e0,fe3_e0,Fe,3,,0,0,-1000,0,0
cpd00013_e0,NH3_e0,H4N,1,,-309.563,-1000,-1000,0,0
cpd00637_e0,D-Methionine_e0,C5H11NO2S,0,,0,0,-1000,0,0
cpd00060_e0,L-Methionine_e0,C5H11NO2S,0,,6.25118,0,-100,9.34886,100
cpd15901_e0,2-oxohexanedioic acid_e0,C6H6O5,-2,,0,0,-1000,0,0
cpd00280_e0,D-Galacturonate_e0,C6H9O7,-1,,0,0,-1000,0,0
cpd00164_e0,Glucuronate_e0,C6H9O7,-1,,0,0,-1000,0,0
cpd01015_e0,Cyanate_e0,CNO,0,,0,0,-1000,0,0
cpd00132_e0,L-Asparagine_e0,C4H8N2O3,0,,0,-999.185,-1000,0,0
cpd02701_c0,S-Adenosyl-4-methylthio-2-oxobutanoate_c0,C15H19N5O6S,0,,0,0,-1000,0,0
cpd00012_e0,PPi_e0,HO7P2,-3,,0,-69.2036,-1000,0,0
cpd00331_e0,cis-Aconitate_e0,C6H3O6,-3,,0,-586.413,-1000,0,0
cpd01630_e0,"cis,cis-Muconate_e0",C6H4O4,-2,,0,-375,-1000,0,0
cpd00073_e0,Urea_e0,CH4N2O,0,,-76.4513,-1000,-1000,0,0
cpd00152_e0,Agmatine_e0,C5H16N4,2,,0,-100,-1000,0,0
cpd00142_e0,Acetoacetate_e0,C4H5O3,0,,0,-881.763,-1000,0,0
cpd00211_e0,Butyrate_e0,C4H7O2,0,,0,0,-1000,0,0
cpd00797_e0,(R)-3-Hydroxybutanoate_e0,C4H7O3,0,,0,-917.55,-1000,0,0
cpd00653_e0,D-Galactonate_e0,C6H11O7,-1,,0,0,-1000,0,0
cpd00652_e0,D-Mucic acid_e0,C6H8O8,-2,,0,0,-1000,0,0
cpd00609_e0,D-Glucarate_e0,C6H8O8,-2,,0,0,-1000,0,0
cpd00069_e0,L-Tyrosine_e0,C9H11NO3,0,,7.82892,-100,-100,100,100
cpd00047_e0,Formate_e0,CHO2,-1,,-392.057,-1000,-1000,0,0
cpd03294_e0,Aerobactin_e0,C22H33N4O13,-3,,0,0,-1000,0,0
cpd03724_e0,Ferrichrome_e0,C27H42FeN9O12,0,,0,0,-1000,0,0
cpd00066_e0,L-Phenylalanine_e0,C9H11NO2,0,,10.9665,-100,-100,100,100
cpd00186_e0,D-Glutamate_e0,C5H8NO4,-1,,0,-857.84,-1000,0,0
cpd00141_e0,Propionate_e0,C3H5O2,-1,,-156.615,-732.882,-1000,0,0
cpd17074_e0,Acetylated Alginate_e0,C14H18O13,0,,0,-231.813,-1000,0,0
cpd00100_e0,Glycerol_e0,C3H8O3,0,,0,-998.387,-1000,0,0
cpd00794_e0,TRHL_e0,C12H22O11,0,,0,0,-1000,0,0
cpd00137_e0,Citrate_e0,C6H5O7,-3,,0,-517.752,-1000,0,0
cpd00162_e0,Aminoethanol_e0,C2H8NO,0,,0,0,-1000,0,0
cpd00423_e0,Vitamin B12r_e0,C62H91CoN13O14P,3,,0,0,-1000,0,0
cpd00121_e0,L-Inositol_e0,C6H12O6,0,,0,0,-1000,0,0
cpd11595_e0,chromate_e0,H2O4Cr,-2,,0,0,-1000,0,0
cpd01293_e0,5-Oxoproline_e0,C5H6NO3,-1,,0,0,-1000,0,0
cpd00221_e0,D-Lactate_e0,C3H5O3,0,,0,-1000,-1000,0,0
cpd00139_e0,Glycolate_e0,C2H3O3,0,,0,-162.856,-1000,0,0
cpd00159_e0,L-Lactate_e0,C3H5O3,-1,,100,0,-100,100,100
cpd00254_e0,Mg_e0,Mg,2,,0,0,-100,0,100
cpd00117_e0,D-Alanine_e0,C3H7NO2,0,,0,0,-1000,0,0
cpd00581_e0,Urocanate_e0,C6H5N2O2,-1,,0,-588.004,-1000,0,0
cpd02012_e0,N-Formyl-L-methionine_e0,C6H10NO3S,-1,,0,0,-1000,0,0
cpd00024_e0,2-Oxoglutarate_e0,C5H4O5,-2,,0,-675.193,-1000,0,0
cpd00011_e0,CO2_e0,CO2,0,,-249.564,-1000,-1000,0,0
cpd00001_e0,H2O_e0,H2O,0,,0,-1000,-1000,0,0
cpd00528_e0,N2_e0,N2,0,,0,0,-1000,0,0
cpd00007_e0,O2_e0,O2,0,,0,-750,-1000,0,0
cpd00147_e0,5-Methylthioadenosine_e0,C11H15N5O3S,0,,0,0,-1000,0,0
cpd00029_e0,Acetate_e0,C2H3O2,-1,,-291.244,-1000,-1000,0,0
cpd00085_e0,beta-Alanine_e0,C3H7NO2,0,,0,-1000,-1000,0,0
cpd01947_e0,BDOH_e0,C4H10O2,0,,0,-990.154,-1000,0,0
cpd03091_e0,5'-Deoxyadenosine_e0,C10H13N5O3,0,,0,-0.0000994213,-1000,0,0
cpd00363_e0,Ethanol_e0,C2H6O,0,,0,0,-1000,0,0
cpd00379_e0,Glutarate_e0,C5H6O4,-2,,0,-1000,-1000,0,0
cpd00229_e0,Glycolaldehyde_e0,C2H4O2,0,,0,-167.841,-1000,0,0
cpd17085_e0,2-heptyl-3-hydroxy-4-quinolone_e0,C16H21O2N,0,,0,-243.358,-1000,0,0
cpd00020_e0,Pyruvate_e0,C3H3O3,-1,,0,-1000,-1000,0,0
cJB00127_e0,cJB00127_e0,C10H17O2,-1,,0,-243.358,-1000,0,0
cpd11416_c0,Biomass_c0,,0,,0,-74.4217,-1000,0,0
